timestamp,name,rssi
2013-06-02 02:13:43.348000,Mother,-77
2013-06-02 02:13:44.131000,ubuntu-0,-68
2013-06-02 02:14:44.747000,Mother,-77
2013-06-02 02:14:47.205000,ubuntu-0,-95
2013-06-02 02:15:42.437000,ubuntu-0,-92
2013-06-02 02:15:47.299000,Mother,-88
2013-06-02 02:16:45.561000,Mother,-77
2013-06-02 02:16:46.411000,ubuntu-0,-64
2013-06-02 02:17:42.564000,Mother,-85
2013-06-02 02:17:43.081000,ubuntu-0,-67
2013-06-02 02:18:45.257000,ubuntu-0,-65
2013-06-02 02:18:47.427000,Mother,-84
2013-06-02 02:19:41.667000,ubuntu-0,-92
2013-06-02 02:19:42.666000,Mother,-82
2013-06-02 02:20:44.491000,Mother,-82
2013-06-02 02:20:45.324000,ubuntu-0,-65
2013-06-02 02:21:42.650000,ubuntu-0,-95
2013-06-02 02:21:44.540000,Mother,-88
2013-06-02 02:22:41.978000,ubuntu-0,-90
2013-06-02 02:22:47.113000,Mother,-80
2013-06-02 02:23:47.179000,ubuntu-0,-68
2013-06-02 02:23:47.464000,Mother,-89
2013-06-02 02:24:43.211000,Mother,-90
2013-06-02 02:24:46.494000,ubuntu-0,-71
2013-06-02 02:26:17.757000,ubuntu-0,-68
2013-06-02 02:27:14.099000,Mother,-88
2013-06-02 02:27:16.164000,ubuntu-0,-67
2013-06-02 02:28:13.568000,ubuntu-0,-68
2013-06-02 02:28:20.405000,Mother,-82
2013-06-02 02:30:12.588000,ubuntu-0,-94
2013-06-02 02:30:18.746000,Mother,-91
2013-06-02 02:31:17.340000,ubuntu-0,-66
2013-06-02 02:31:17.526000,Mother,-87
2013-06-02 02:32:14.727000,ubuntu-0,-68
2013-06-02 02:32:16.914000,Mother,-82
